key,ja,en,fr,de,es,it,pt
language,Japanese,English,French,German,Spanish,Italian,Portuguese
save,保存,save,Enregistrer,Speichern,Guardar,Salva,Guardar
add,追加,add,Ajouter,Hinzufügen,Añadir,Aggiungi,Adicionar
del,削除,delete,Supprimer,Löschen,Eliminar,Elimina,Excluir
edit,編集,edit,Modifier,Bearbeiten,Editar,Modifica,Editar
update,更新,update,Mettre à jour,Aktualisieren,Actualizar,Aggiorna,Atualizar
setup,設定,set,Paramètres,Einstellungen,Ajustes,Impostazioni,Configurações
check,確認,check,Vérifier,Prüfen,Verificar,Controlla,Verificar
select,ファイルを選択,select file,Sélectionner un fichier,Datei auswählen,Seleccionar archivo,Seleziona file,Selecionar arquivo
reset,リセット,reset,Réinitialiser,Zurücksetzen,Restablecer,Ripristina,Redefinir
newpage,新しいページを追加,Add New Page,Ajouter une nouvelle page,Neue Seite hinzufügen,Añadir nueva página,Aggiungi nuova pagina,Adicionar nova página
fullsize,全面表示,full width,Pleine largeur,Volle Breite,Ancho completo,Larghezza completa,Largura total
open,開く,open,Ouvrir,Öffnen,Abrir,Apri,Abrir
close,閉じる,close,Fermer,Schließen,Cerrar,Chiudi,Fechar
trash,削除,trash,Corbeille,Papierkorb,Papelera,Cestino,Lixeira
publish,公開,publish,Publier,Veröffentlichen,Publicar,Pubblica,Publicar
name,名前,Name,Nom,Name,Nombre,Nome,Nome
desc,詳細,details,Détails,Details,Detalles,Dettagli,Detalhes
section_add,セクションを追加する,Add Section,Ajouter une section,Abschnitt hinzufügen,Añadir sección,Aggiungi sezione,Adicionar seção
section_del,セクションを削除する,Delete Section,Supprimer la section,Abschnitt löschen,Eliminar sección,Elimina sezione,Excluir seção
html_edit,HTMLを編集,Edit HTML,Modifier le HTML,HTML bearbeiten,Editar HTML,Modifica HTML,Editar HTML
reorder,並び順を変更,Reorder,Réorganiser,Neu anordnen,Reordenar,Riordina,Reordenar
indextop,100点を目指してサイトを最適化しましょう！,Google PageSpeed Insights 100,Visez 100 points sur Google PageSpeed Insights !,100 Punkte bei Google PageSpeed Insights anstreben!,¡Apunta a 100 puntos en Google PageSpeed Insights!,Punta a 100 punti su Google PageSpeed Insights!,Mire nos 100 pontos no Google PageSpeed Insights!
index01,クイックアクセス,Quick Access,Accès rapide,Schnellzugriff,Acceso rápido,Accesso rapido,Acesso rápido
index02,編集ツール,Editing Tools,Outils d’édition,Bearbeitungswerkzeuge,Herramientas de edición,Strumenti di modifica,Ferramentas de edição
dash,ダッシュボード,Dashboard,Tableau de bord,Dashboard,Panel de control,Dashboard,Painel
nav_header1,コンテンツ,Contents,Contenu,Inhalte,Contenido,Contenuti,Conteúdo
nav_header2,構造・デザイン,Structure / Design,Structure / Design,Struktur / Design,Estructura / Diseño,Struttura / Design,Estrutura / Design
nav_close,メニューを閉じる,Close Menu,Fermer le menu,Menü schließen,Cerrar menú,Chiudi menu,Fechar menu
